월,일,시,건구온도(℃),기압(hPa),운량(1~10),적설량(cm),강우량(mm),풍향,상대습도(%),수평면일사(W/m2),운형,퐁속(m/s),이슬점온도(℃),절대습도(Kg/Kg),공기밀도(Kg/㎥),엔탈피(KJ/Kg),직달일사(W/㎡),,
3,10 ,16,12.20 ,996.5 ,1 ,0.00 ,0.00 ,WSW,27 ,491.67 ,Sc,12.0 ,-5.83 ,0.0024 ,1.2370 ,18.22 ,308.29 ,,
3,10 ,17,12.00 ,996.8 ,1 ,0.00 ,0.00 ,WSW,28 ,286.11 ,Sc,10.0 ,-6.27 ,0.0024 ,1.2379 ,18.16 ,168.15 ,,
3,10 ,18,10.20 ,997.0 ,1 ,0.00 ,0.00 ,WSW,29 ,102.78 ,Sc,8.0 ,-6.70 ,0.0022 ,1.2458 ,15.84 ,66.75 ,,
3,10 ,19,8.60 ,997.8 ,1 ,0.00 ,0.00 ,W,31 ,0.00 ,Sc,9.7 ,-6.70 ,0.0021 ,1.2528 ,14.00 ,0.00 ,,
3,10 ,20,7.30 ,998.7 ,1 ,0.00 ,0.00 ,W,33 ,0.00 ,Sc,6.0 ,-6.70 ,0.0021 ,1.2586 ,12.56 ,0.00 ,,
3,10 ,21,7.20 ,999.5 ,1 ,0.00 ,0.00 ,W,35 ,0.00 ,Sc,5.7 ,-6.70 ,0.0022 ,1.2591 ,12.73 ,0.00 ,,
3,10 ,22,6.50 ,999.7 ,1 ,0.00 ,0.00 ,W,37 ,0.00 ,Sc,5.3 ,-6.47 ,0.0022 ,1.2622 ,12.07 ,0.00 ,,
3,10 ,23,6.10 ,1000.0 ,0 ,0.00 ,0.00 ,W,39 ,0.00 ,0,7.3 ,-6.23 ,0.0023 ,1.2641 ,11.81 ,0.00 ,,
3,10 ,24,5.80 ,1000.2 ,0 ,0.00 ,0.00 ,W,41 ,0.00 ,0,7.0 ,-6.00 ,0.0023 ,1.2654 ,11.67 ,0.00 ,,
3,11 ,1,5.80 ,1000.2 ,0 ,0.00 ,0.00 ,W,46 ,0.00 ,StNs,7.0 ,-4.83 ,0.0026 ,1.2654 ,12.34 ,0.00 ,,
3,11 ,2,5.90 ,1000.3 ,1 ,0.00 ,0.00 ,WSW,50 ,0.00 ,Sc,10.5 ,-3.67 ,0.0029 ,1.2650 ,13.16 ,0.00 ,,
3,11 ,3,5.80 ,1000.3 ,1 ,0.00 ,0.00 ,W,55 ,0.00 ,Sc,6.7 ,-2.50 ,0.0031 ,1.2654 ,13.68 ,0.00 ,,
3,11 ,4,5.60 ,1001.3 ,1 ,0.00 ,0.00 ,NW,57 ,0.00 ,Sc,5.0 ,-2.23 ,0.0032 ,1.2663 ,13.70 ,0.00 ,,
3,11 ,5,5.20 ,1002.3 ,1 ,0.00 ,0.00 ,WNW,60 ,0.00 ,Sc,4.0 ,-1.97 ,0.0033 ,1.2681 ,13.40 ,0.00 ,,
3,11 ,6,5.00 ,1003.3 ,1 ,0.00 ,0.00 ,W,62 ,0.00 ,Sc,4.3 ,-1.70 ,0.0033 ,1.2691 ,13.40 ,0.00 ,,
3,11 ,7,4.80 ,1003.7 ,1 ,0.00 ,0.00 ,W,61 ,0.00 ,Sc,2.3 ,-0.63 ,0.0033 ,1.2700 ,12.99 ,0.00 ,,
3,11 ,8,4.70 ,1004.2 ,1 ,0.00 ,0.00 ,SW,61 ,77.78 ,Sc,3.3 ,0.43 ,0.0032 ,1.2704 ,12.74 ,6.11 ,,
3,11 ,9,6.40 ,1004.6 ,1 ,0.00 ,0.00 ,NNW,60 ,250.00 ,Sc,1.0 ,1.50 ,0.0036 ,1.2627 ,15.37 ,51.85 ,,
3,11 ,10,7.80 ,1004.3 ,2 ,0.00 ,0.00 ,WSW,56 ,419.44 ,Sc,2.0 ,1.13 ,0.0037 ,1.2564 ,17.03 ,142.84 ,,
3,11 ,11,9.90 ,1004.1 ,2 ,0.00 ,0.00 ,SE,52 ,511.11 ,Sc,3.0 ,0.77 ,0.0039 ,1.2471 ,19.81 ,185.61 ,,
3,11 ,12,10.80 ,1003.8 ,3 ,0.00 ,0.00 ,S,48 ,550.00 ,Sc,4.3 ,0.40 ,0.0038 ,1.2431 ,20.52 ,197.55 ,,
3,11 ,13,12.60 ,1003.6 ,4 ,0.00 ,0.00 ,SSW,49 ,638.89 ,Sc,6.0 ,0.90 ,0.0044 ,1.2353 ,23.88 ,298.92 ,,
3,11 ,14,12.10 ,1003.5 ,6 ,0.00 ,0.00 ,S,51 ,633.33 ,ScCi,6.7 ,1.40 ,0.0044 ,1.2375 ,23.30 ,324.90 ,,
3,11 ,15,11.20 ,1003.3 ,7 ,0.00 ,0.00 ,S,52 ,486.11 ,ScCi,7.7 ,1.90 ,0.0043 ,1.2414 ,22.02 ,206.40 ,,
3,11 ,16,11.10 ,1002.9 ,7 ,0.00 ,0.00 ,S,52 ,386.11 ,ScCi,7.0 ,1.77 ,0.0042 ,1.2418 ,21.85 ,174.38 ,,
3,11 ,17,11.20 ,1002.5 ,6 ,0.00 ,0.00 ,SW,52 ,236.11 ,Ci,5.7 ,1.63 ,0.0043 ,1.2414 ,22.02 ,102.80 ,,
3,11 ,18,10.90 ,1002.1 ,6 ,0.00 ,0.00 ,SSW,52 ,83.33 ,Ci,4.0 ,1.50 ,0.0042 ,1.2427 ,21.50 ,41.61 ,,
3,11 ,19,10.00 ,1002.2 ,5 ,0.00 ,0.00 ,SW,56 ,0.00 ,Ci,4.3 ,2.20 ,0.0043 ,1.2466 ,20.81 ,0.00 ,,
3,11 ,20,9.30 ,1002.3 ,4 ,0.00 ,0.00 ,SW,61 ,0.00 ,Ci,4.7 ,2.90 ,0.0044 ,1.2497 ,20.40 ,0.00 ,,
3,11 ,21,9.30 ,1002.4 ,3 ,0.00 ,0.00 ,W,65 ,0.00 ,Ci,2.3 ,3.60 ,0.0047 ,1.2497 ,21.19 ,0.00 ,,
3,11 ,22,8.70 ,1002.3 ,4 ,0.00 ,0.00 ,NW,66 ,0.00 ,Ci,0.7 ,3.40 ,0.0046 ,1.2524 ,20.29 ,0.00 ,,
3,11 ,23,8.40 ,1002.2 ,4 ,0.00 ,0.00 ,정온,67 ,0.00 ,Ci,0.0 ,3.20 ,0.0046 ,1.2537 ,19.92 ,0.00 ,,
3,11 ,24,8.50 ,1002.1 ,5 ,0.00 ,0.00 ,WSW,68 ,0.00 ,Ci,4.7 ,3.00 ,0.0047 ,1.2533 ,20.27 ,0.00 ,,
3,12 ,1,8.30 ,1001.3 ,7 ,0.00 ,0.00 ,NW,69 ,0.00 ,0,0.3 ,3.07 ,0.0047 ,1.2542 ,20.14 ,0.00 ,,
3,12 ,2,8.10 ,1000.6 ,8 ,0.00 ,0.00 ,WSW,71 ,0.00 ,Ns,2.7 ,3.13 ,0.0047 ,1.2551 ,20.00 ,0.00 ,,
3,12 ,3,7.90 ,999.8 ,10 ,0.00 ,0.00 ,W,72 ,0.00 ,Ns,2.0 ,3.20 ,0.0047 ,1.2560 ,19.86 ,0.00 ,,
3,12 ,4,6.90 ,999.4 ,9 ,0.00 ,0.23 ,WSW,66 ,0.00 ,Ns,3.7 ,1.40 ,0.0041 ,1.2604 ,17.12 ,0.00 ,,
3,12 ,5,6.60 ,999.0 ,8 ,0.00 ,0.47 ,WSW,60 ,0.00 ,As,4.3 ,-0.40 ,0.0036 ,1.2618 ,15.70 ,0.00 ,,
3,12 ,6,6.10 ,998.6 ,7 ,0.00 ,0.70 ,WSW,54 ,0.00 ,As,8.3 ,-2.20 ,0.0031 ,1.2641 ,14.00 ,0.00 ,,
3,12 ,7,5.50 ,999.2 ,7 ,0.00 ,0.47 ,WSW,57 ,0.00 ,As,7.0 ,-1.63 ,0.0032 ,1.2668 ,13.45 ,0.00 ,,
3,12 ,8,5.50 ,999.8 ,8 ,0.00 ,0.23 ,W,59 ,69.44 ,ScAs,6.0 ,-1.07 ,0.0033 ,1.2668 ,13.83 ,5.56 ,,
3,12 ,9,6.00 ,1000.4 ,8 ,0.00 ,0.00 ,W,62 ,186.11 ,ScAs,7.3 ,-0.50 ,0.0036 ,1.2645 ,15.01 ,20.19 ,,
3,12 ,10,7.00 ,1000.9 ,7 ,0.00 ,0.00 ,W,58 ,400.00 ,ScAs,4.7 ,-0.57 ,0.0036 ,1.2600 ,15.99 ,121.46 ,,
3,12 ,11,7.90 ,1001.5 ,6 ,0.00 ,0.00 ,W,53 ,566.67 ,Sc,4.7 ,-0.63 ,0.0035 ,1.2560 ,16.75 ,246.71 ,,
3,12 ,12,9.30 ,1002.0 ,5 ,0.00 ,0.00 ,W,49 ,594.44 ,Sc,3.2 ,-0.70 ,0.0035 ,1.2497 ,18.26 ,245.05 ,,
3,12 ,13,9.90 ,1002.4 ,5 ,0.00 ,0.00 ,W,47 ,530.56 ,Sc,3.0 ,-0.70 ,0.0035 ,1.2471 ,18.85 ,173.32 ,,
3,12 ,14,9.40 ,1002.9 ,4 ,0.00 ,0.00 ,N,45 ,325.00 ,Sc,3.8 ,-0.70 ,0.0033 ,1.2493 ,17.68 ,42.01 ,,
3,12 ,15,11.50 ,1003.3 ,4 ,0.00 ,0.00 ,N,43 ,538.89 ,Sc,4.2 ,-0.70 ,0.0036 ,1.2401 ,20.63 ,269.42 ,,
3,12 ,16,10.30 ,1003.9 ,4 ,0.00 ,0.00 ,N,42 ,227.78 ,Sc,3.7 ,-1.37 ,0.0033 ,1.2453 ,18.59 ,33.32 ,,
3,12 ,17,11.60 ,1004.4 ,4 ,0.00 ,0.00 ,N,42 ,277.78 ,Sc,2.7 ,-2.03 ,0.0035 ,1.2396 ,20.51 ,153.28 ,,
3,12 ,18,9.70 ,1005.0 ,4 ,0.00 ,0.00 ,NNW,41 ,72.22 ,Sc,2.8 ,-2.70 ,0.0030 ,1.2480 ,17.40 ,26.46 ,,
3,12 ,19,9.00 ,1005.7 ,3 ,0.00 ,0.00 ,N,45 ,0.00 ,Sc,3.8 ,-1.97 ,0.0032 ,1.2511 ,17.00 ,0.00 ,,
3,12 ,20,8.60 ,1006.4 ,3 ,0.00 ,0.00 ,NW,48 ,0.00 ,Sc,1.3 ,-1.23 ,0.0033 ,1.2528 ,17.02 ,0.00 ,,
3,12 ,21,8.60 ,1007.1 ,2 ,0.00 ,0.00 ,NNW,52 ,0.00 ,Sc,1.3 ,-0.50 ,0.0036 ,1.2528 ,17.66 ,0.00 ,,
3,12 ,22,7.90 ,1007.6 ,1 ,0.00 ,0.00 ,W,57 ,0.00 ,Sc,1.5 ,-0.33 ,0.0037 ,1.2560 ,17.31 ,0.00 ,,
3,12 ,23,7.10 ,1008.2 ,1 ,0.00 ,0.00 ,W,61 ,0.00 ,0,2.0 ,-0.17 ,0.0038 ,1.2595 ,16.73 ,0.00 ,,
3,12 ,24,6.00 ,1008.7 ,0 ,0.00 ,0.00 ,N,66 ,0.00 ,0,1.7 ,0.00 ,0.0038 ,1.2645 ,15.60 ,0.00 ,,
3,13 ,1,5.50 ,1009.0 ,0 ,0.00 ,0.00 ,SE,68 ,0.00 ,Ci,1.8 ,0.13 ,0.0038 ,1.2668 ,15.04 ,0.00 ,,
3,13 ,2,5.10 ,1009.4 ,0 ,0.00 ,0.00 ,NNW,70 ,0.00 ,0,3.0 ,0.27 ,0.0038 ,1.2686 ,14.65 ,0.00 ,,
3,13 ,3,5.00 ,1009.7 ,0 ,0.00 ,0.00 ,NNW,72 ,0.00 ,0,7.0 ,0.40 ,0.0039 ,1.2691 ,14.76 ,0.00 ,,
3,13 ,4,4.90 ,1010.2 ,0 ,0.00 ,0.00 ,NNW,71 ,0.00 ,0,6.0 ,0.20 ,0.0038 ,1.2695 ,14.50 ,0.00 ,,
3,13 ,5,4.90 ,1010.6 ,0 ,0.00 ,0.00 ,NW,71 ,0.00 ,0,2.3 ,0.00 ,0.0038 ,1.2695 ,14.41 ,0.00 ,,
3,13 ,6,4.80 ,1011.1 ,0 ,0.00 ,0.00 ,NNW,70 ,0.00 ,0,5.8 ,-0.20 ,0.0037 ,1.2700 ,14.15 ,0.00 ,,
3,13 ,7,4.80 ,1011.8 ,0 ,0.00 ,0.00 ,NNW,68 ,0.00 ,0,5.7 ,-0.13 ,0.0036 ,1.2700 ,13.84 ,0.00 ,,
3,13 ,8,5.10 ,1012.6 ,0 ,0.00 ,0.00 ,NNW,65 ,83.33 ,0,3.7 ,-0.07 ,0.0035 ,1.2686 ,14.01 ,6.58 ,,
3,13 ,9,6.30 ,1013.3 ,0 ,0.00 ,0.00 ,NNW,63 ,266.67 ,0,6.0 ,0.00 ,0.0037 ,1.2632 ,15.65 ,60.92 ,,
3,13 ,10,7.30 ,1013.4 ,1 ,0.00 ,0.00 ,NNW,55 ,455.56 ,0,5.8 ,-0.17 ,0.0035 ,1.2586 ,16.11 ,176.97 ,,
3,13 ,11,9.20 ,1013.5 ,1 ,0.00 ,0.00 ,NNE,48 ,575.00 ,Sc,3.3 ,-0.33 ,0.0034 ,1.2502 ,17.85 ,253.99 ,,
3,13 ,12,12.80 ,1013.6 ,2 ,0.00 ,0.00 ,ESE,40 ,658.33 ,Sc,2.0 ,-0.50 ,0.0036 ,1.2344 ,22.07 ,320.46 ,,
3,13 ,13,12.70 ,1013.9 ,4 ,0.00 ,0.00 ,ESE,42 ,600.00 ,Sc,3.3 ,-0.20 ,0.0038 ,1.2349 ,22.44 ,246.81 ,,
3,13 ,14,11.50 ,1014.1 ,6 ,0.00 ,0.00 ,ESE,45 ,538.89 ,ScAs,3.7 ,0.10 ,0.0037 ,1.2401 ,20.98 ,205.38 ,,
3,13 ,15,11.40 ,1014.4 ,8 ,0.00 ,0.00 ,ENE,47 ,313.89 ,ScAs,3.3 ,0.40 ,0.0039 ,1.2405 ,21.31 ,51.34 ,,
3,13 ,16,11.60 ,1014.5 ,8 ,0.00 ,0.00 ,E,53 ,247.22 ,ScAs,3.3 ,1.53 ,0.0045 ,1.2396 ,22.93 ,42.67 ,,
3,13 ,17,11.20 ,1014.6 ,7 ,0.00 ,0.00 ,ENE,59 ,258.33 ,ScCi,3.7 ,2.67 ,0.0049 ,1.2414 ,23.48 ,126.23 ,,
3,13 ,18,10.00 ,1014.7 ,7 ,0.00 ,0.00 ,ENE,65 ,91.67 ,ScCi,4.8 ,3.80 ,0.0049 ,1.2466 ,22.48 ,48.12 ,,
3,13 ,19,9.10 ,1015.4 ,6 ,0.00 ,0.00 ,NE,68 ,0.00 ,ScCi,3.7 ,3.80 ,0.0049 ,1.2506 ,21.37 ,0.00 ,,
3,13 ,20,8.70 ,1016.1 ,4 ,0.00 ,0.00 ,NE,71 ,0.00 ,Sc,4.0 ,3.80 ,0.0049 ,1.2524 ,21.17 ,0.00 ,,
3,13 ,21,8.20 ,1016.8 ,3 ,0.00 ,0.00 ,NE,74 ,0.00 ,Sc,3.7 ,3.80 ,0.0050 ,1.2546 ,20.76 ,0.00 ,,
3,13 ,22,7.60 ,1016.8 ,2 ,0.00 ,0.00 ,NNE,75 ,0.00 ,Sc,2.8 ,3.60 ,0.0048 ,1.2573 ,19.81 ,0.00 ,,
3,13 ,23,7.20 ,1016.8 ,2 ,0.00 ,0.00 ,NNE,76 ,0.00 ,Sc,2.8 ,3.40 ,0.0048 ,1.2591 ,19.23 ,0.00 ,,
3,13 ,24,6.90 ,1016.8 ,1 ,0.00 ,0.00 ,NNE,77 ,0.00 ,Sc,3.0 ,3.20 ,0.0047 ,1.2604 ,18.83 ,0.00 ,,
3,14 ,1,6.70 ,1017.1 ,1 ,0.00 ,0.00 ,NNE,78 ,0.00 ,0,4.0 ,3.03 ,0.0047 ,1.2613 ,18.57 ,0.00 ,,
3,14 ,2,6.50 ,1017.3 ,2 ,0.00 ,0.00 ,NNE,78 ,0.00 ,Ci,3.2 ,2.87 ,0.0047 ,1.2622 ,18.31 ,0.00 ,,
3,14 ,3,6.30 ,1017.6 ,2 ,0.00 ,0.00 ,NNE,79 ,0.00 ,Ci,3.0 ,2.70 ,0.0047 ,1.2632 ,18.04 ,0.00 ,,
3,14 ,4,6.00 ,1017.9 ,1 ,0.00 ,0.00 ,NNE,79 ,0.00 ,Ci,3.0 ,2.77 ,0.0046 ,1.2645 ,17.54 ,0.00 ,,
3,14 ,5,6.20 ,1018.1 ,1 ,0.00 ,0.00 ,NNE,80 ,0.00 ,0,3.5 ,2.83 ,0.0047 ,1.2636 ,17.96 ,0.00 ,,
3,14 ,6,6.20 ,1018.4 ,0 ,0.00 ,0.00 ,NNE,80 ,0.00 ,0,2.7 ,2.90 ,0.0047 ,1.2636 ,18.01 ,0.00 ,,
3,14 ,7,5.80 ,1019.0 ,1 ,0.00 ,0.00 ,NNE,77 ,0.00 ,0,2.7 ,3.23 ,0.0044 ,1.2654 ,16.85 ,0.00 ,,
3,14 ,8,6.60 ,1019.7 ,1 ,0.00 ,0.00 ,NNE,74 ,80.56 ,Ci,2.2 ,3.57 ,0.0045 ,1.2618 ,17.83 ,6.33 ,,
3,14 ,9,8.90 ,1020.3 ,2 ,0.00 ,0.00 ,NNE,71 ,233.33 ,Ci,2.7 ,3.90 ,0.0050 ,1.2515 ,21.54 ,38.55 ,,
3,14 ,10,10.50 ,1020.3 ,4 ,0.00 ,0.00 ,NE,66 ,358.33 ,Ci,2.3 ,3.73 ,0.0052 ,1.2444 ,23.67 ,82.72 ,,
3,14 ,11,12.50 ,1020.2 ,7 ,0.00 ,0.00 ,ESE,62 ,472.22 ,ScCi,2.8 ,3.57 ,0.0055 ,1.2357 ,26.51 ,140.15 ,,
3,14 ,12,11.70 ,1020.2 ,9 ,0.00 ,0.00 ,E,57 ,244.44 ,ScCi,2.7 ,3.40 ,0.0048 ,1.2392 ,23.97 ,19.54 ,,
3,14 ,13,12.50 ,1019.8 ,9 ,0.00 ,0.00 ,E,56 ,358.33 ,ScCi,2.8 ,3.17 ,0.0050 ,1.2357 ,25.22 ,48.32 ,,
3,14 ,14,12.40 ,1019.3 ,10 ,0.00 ,0.00 ,E,55 ,413.89 ,ScAs,3.3 ,2.93 ,0.0049 ,1.2362 ,24.81 ,89.06 ,,
3,14 ,15,11.40 ,1018.9 ,10 ,0.00 ,0.00 ,ESE,54 ,186.11 ,ScAs,3.0 ,2.70 ,0.0045 ,1.2405 ,22.79 ,14.64 ,,
3,14 ,16,11.10 ,1019.0 ,10 ,0.00 ,0.00 ,ESE,55 ,158.33 ,ScAs,2.8 ,2.57 ,0.0045 ,1.2418 ,22.40 ,12.92 ,,
3,14 ,17,11.30 ,1019.0 ,9 ,0.00 ,0.00 ,ESE,55 ,175.00 ,Ci,2.3 ,2.43 ,0.0046 ,1.2409 ,22.89 ,38.50 ,,
3,14 ,18,10.60 ,1019.1 ,9 ,0.00 ,0.00 ,SE,56 ,61.11 ,Ci,3.0 ,2.30 ,0.0044 ,1.2440 ,21.79 ,13.81 ,,
3,14 ,19,9.70 ,1019.6 ,7 ,0.00 ,0.00 ,SSE,59 ,0.00 ,Ci,2.2 ,2.43 ,0.0044 ,1.2480 ,20.85 ,0.00 ,,
3,14 ,20,9.30 ,1020.1 ,6 ,0.00 ,0.00 ,ESE,63 ,0.00 ,Ci,1.2 ,2.57 ,0.0045 ,1.2497 ,20.76 ,0.00 ,,
3,14 ,21,8.80 ,1020.6 ,4 ,0.00 ,0.00 ,W,66 ,0.00 ,Ci,0.8 ,2.70 ,0.0046 ,1.2519 ,20.47 ,0.00 ,,
3,14 ,22,8.60 ,1020.6 ,3 ,0.00 ,0.00 ,WNW,69 ,0.00 ,Ci,2.2 ,3.00 ,0.0048 ,1.2528 ,20.63 ,0.00 ,,
3,14 ,23,7.90 ,1020.6 ,1 ,0.00 ,0.00 ,N,72 ,0.00 ,0,1.5 ,3.30 ,0.0047 ,1.2560 ,19.86 ,0.00 ,,
3,14 ,24,7.70 ,1020.6 ,0 ,0.00 ,0.00 ,정온,75 ,0.00 ,0,0.0 ,3.60 ,0.0049 ,1.2569 ,19.99 ,0.00 ,,
3,15 ,1,7.37 ,1020.2 ,0 ,0.00 ,0.00 ,NNE,77 ,0.00 ,Sc,1.0 ,3.53 ,0.0049 ,1.2583 ,19.64 ,0.00 ,,
3,15 ,2,7.03 ,1019.7 ,0 ,0.00 ,0.00 ,NNE,78 ,0.00 ,0,1.2 ,3.47 ,0.0049 ,1.2598 ,19.29 ,0.00 ,,
3,15 ,3,6.70 ,1019.3 ,0 ,0.00 ,0.00 ,정온,80 ,0.00 ,0,0.0 ,3.40 ,0.0049 ,1.2613 ,18.93 ,0.00 ,,
3,15 ,4,6.70 ,1019.0 ,1 ,0.00 ,0.00 ,정온,82 ,0.00 ,0,0.2 ,3.47 ,0.0050 ,1.2613 ,19.19 ,0.00 ,,
3,15 ,5,6.20 ,1018.6 ,2 ,0.00 ,0.00 ,NE,83 ,0.00 ,Ci,1.3 ,3.53 ,0.0049 ,1.2636 ,18.50 ,0.00 ,,
3,15 ,6,5.90 ,1018.3 ,3 ,0.00 ,0.00 ,NE,85 ,0.00 ,Ci,1.0 ,3.60 ,0.0049 ,1.2650 ,18.19 ,0.00 ,,
3,15 ,7,5.70 ,1018.7 ,4 ,0.00 ,0.00 ,NE,81 ,0.00 ,Ci,0.5 ,4.07 ,0.0046 ,1.2659 ,17.19 ,0.00 ,,
3,15 ,8,6.50 ,1019.0 ,5 ,0.00 ,0.00 ,정온,76 ,86.11 ,Ci,0.0 ,4.53 ,0.0046 ,1.2622 ,18.00 ,6.79 ,,
3,15 ,9,9.60 ,1019.4 ,6 ,0.00 ,0.00 ,NNE,72 ,241.67 ,Ci,1.8 ,5.00 ,0.0053 ,1.2484 ,23.05 ,42.19 ,,
3,15 ,10,12.10 ,1019.5 ,6 ,0.00 ,0.00 ,ENE,65 ,372.22 ,Ci,2.7 ,4.83 ,0.0057 ,1.2375 ,26.48 ,91.94 ,,
3,15 ,11,12.30 ,1019.6 ,5 ,0.00 ,0.00 ,ENE,58 ,338.89 ,Sc,4.7 ,4.67 ,0.0051 ,1.2366 ,25.30 ,47.58 ,,
3,15 ,12,14.50 ,1019.7 ,5 ,0.00 ,0.00 ,E,51 ,597.22 ,Sc,3.5 ,4.50 ,0.0052 ,1.2271 ,27.73 ,240.82 ,,
3,15 ,13,15.60 ,1018.5 ,6 ,0.00 ,0.00 ,E,52 ,738.89 ,Sc,4.7 ,4.37 ,0.0057 ,1.2225 ,30.10 ,415.62 ,,
3,15 ,14,13.90 ,1017.4 ,7 ,0.00 ,0.00 ,ENE,53 ,566.67 ,Ci,6.3 ,4.23 ,0.0052 ,1.2297 ,27.11 ,232.86 ,,
3,15 ,15,13.20 ,1016.2 ,8 ,0.00 ,0.00 ,ENE,54 ,463.89 ,Ci,7.7 ,4.10 ,0.0051 ,1.2327 ,26.05 ,172.88 ,,
3,15 ,16,12.10 ,1015.6 ,9 ,0.00 ,0.00 ,ENE,57 ,258.33 ,Ci,6.2 ,4.03 ,0.0050 ,1.2375 ,24.78 ,47.73 ,,
3,15 ,17,11.10 ,1015.0 ,9 ,0.00 ,0.00 ,ENE,61 ,138.89 ,As,5.5 ,3.97 ,0.0050 ,1.2418 ,23.65 ,17.95 ,,
3,15 ,18,10.40 ,1014.4 ,10 ,0.00 ,0.00 ,ENE,64 ,47.22 ,As,7.7 ,3.90 ,0.0050 ,1.2449 ,23.02 ,5.71 ,,
3,15 ,19,10.10 ,1014.3 ,9 ,0.00 ,0.00 ,ENE,67 ,0.00 ,As,6.3 ,4.43 ,0.0051 ,1.2462 ,22.98 ,0.00 ,,
3,15 ,20,10.10 ,1014.3 ,9 ,0.00 ,0.00 ,ENE,69 ,0.00 ,ScAs,7.0 ,4.97 ,0.0053 ,1.2462 ,23.50 ,0.00 ,,
3,15 ,21,10.30 ,1014.2 ,8 ,0.00 ,0.00 ,ENE,72 ,0.00 ,ScAs,6.2 ,5.50 ,0.0056 ,1.2453 ,24.41 ,0.00 ,,
3,15 ,22,10.30 ,1012.9 ,9 ,0.00 ,0.00 ,ENE,77 ,0.00 ,ScAs,4.3 ,6.47 ,0.0060 ,1.2453 ,25.40 ,0.00 ,,
3,15 ,23,10.50 ,1011.7 ,9 ,0.00 ,0.00 ,ENE,82 ,0.00 ,ScAs,5.3 ,7.43 ,0.0065 ,1.2444 ,26.81 ,0.00 ,,
3,15 ,24,10.40 ,1010.4 ,10 ,0.00 ,0.00 ,NE,87 ,0.00 ,ScAs,5.2 ,8.40 ,0.0068 ,1.2449 ,27.59 ,0.00 ,,
3,16 ,1,10.40 ,1009.0 ,10 ,0.00 ,2.47 ,E,90 ,0.00 ,0,4.0 ,8.90 ,0.0070 ,1.2449 ,28.19 ,0.00 ,,
3,16 ,2,10.40 ,1007.5 ,10 ,0.00 ,4.93 ,E,93 ,0.00 ,StAs,5.7 ,9.40 ,0.0073 ,1.2449 ,28.79 ,0.00 ,,
3,16 ,3,10.40 ,1006.1 ,10 ,0.00 ,7.40 ,E,96 ,0.00 ,StAs,6.3 ,9.90 ,0.0075 ,1.2449 ,29.39 ,0.00 ,,
3,16 ,4,10.90 ,1004.9 ,10 ,0.00 ,11.20 ,E,97 ,0.00 ,StAs,7.0 ,10.30 ,0.0078 ,1.2427 ,30.68 ,0.00 ,,
3,16 ,5,11.20 ,1003.7 ,10 ,0.00 ,15.00 ,E,97 ,0.00 ,StNs,6.0 ,10.70 ,0.0080 ,1.2414 ,31.53 ,0.00 ,,
3,16 ,6,11.40 ,1002.5 ,10 ,0.00 ,18.80 ,E,98 ,0.00 ,StNs,7.3 ,11.10 ,0.0082 ,1.2405 ,32.15 ,0.00 ,,
3,16 ,7,11.70 ,1001.9 ,10 ,0.00 ,16.60 ,ESE,98 ,0.00 ,StNs,6.7 ,11.23 ,0.0084 ,1.2392 ,32.88 ,0.00 ,,
3,16 ,8,11.60 ,1001.4 ,10 ,0.00 ,14.40 ,E,98 ,8.33 ,StNs,4.0 ,11.37 ,0.0083 ,1.2396 ,32.64 ,0.67 ,,
3,16 ,9,11.90 ,1000.8 ,10 ,0.00 ,12.20 ,S,98 ,27.78 ,StNs,3.2 ,11.50 ,0.0085 ,1.2383 ,33.37 ,2.22 ,,
3,16 ,10,13.00 ,1000.2 ,10 ,0.00 ,9.27 ,SSW,98 ,19.44 ,StNs,11.3 ,12.10 ,0.0091 ,1.2336 ,36.12 ,1.56 ,,
3,16 ,11,13.20 ,999.5 ,10 ,0.00 ,6.33 ,SSW,98 ,36.11 ,ScAs,10.7 ,12.70 ,0.0093 ,1.2327 ,36.63 ,2.89 ,,
3,16 ,12,13.60 ,998.9 ,10 ,0.00 ,3.40 ,S,98 ,116.67 ,ScAs,3.3 ,13.30 ,0.0095 ,1.2310 ,37.67 ,9.33 ,,
3,16 ,13,15.50 ,999.0 ,9 ,0.00 ,2.27 ,SSW,91 ,694.44 ,ScAs,7.7 ,12.40 ,0.0099 ,1.2229 ,40.73 ,355.90 ,,
3,16 ,14,15.70 ,999.2 ,7 ,0.00 ,1.13 ,SSW,83 ,530.56 ,Sc,10.0 ,11.50 ,0.0093 ,1.2220 ,39.17 ,190.36 ,,
3,16 ,15,14.80 ,999.3 ,6 ,0.00 ,0.00 ,SSW,76 ,258.33 ,Sc,7.3 ,10.60 ,0.0079 ,1.2259 ,34.96 ,27.49 ,,
3,16 ,16,12.90 ,999.8 ,7 ,0.00 ,0.00 ,SSW,78 ,308.33 ,Sc,6.3 ,10.40 ,0.0072 ,1.2340 ,31.21 ,83.35 ,,
3,16 ,17,12.80 ,1000.3 ,9 ,0.00 ,0.00 ,SSW,81 ,141.67 ,ScAs,5.7 ,10.20 ,0.0074 ,1.2344 ,31.54 ,18.68 ,,
3,16 ,18,12.90 ,1000.8 ,10 ,0.00 ,0.00 ,SW,83 ,33.33 ,ScAs,6.2 ,10.00 ,0.0077 ,1.2340 ,32.32 ,2.63 ,,
