월,일,시,건구온도(℃),기압(hPa),운량(1~10),적설량(cm),강우량(mm),풍향,상대습도(%),수평면일사(W/m2),운형,퐁속(m/s),이슬점온도(℃),절대습도(Kg/Kg),공기밀도(Kg/㎥),엔탈피(KJ/Kg),직달일사(W/㎡)
3,6,7,3.6,1012.7,10,0,0,ENE,45,0,ScAs,1.7,-4.57,0.0022,1.2755,9.11,0
3,6,8,3.2,1012.9,10,0,0,E,56,2.78,StNs,3.2,-3.13,0.0027,1.2773,9.86,0.22
3,6,9,2.1,1013,10,0,0,ENE,75,41.67,StNs,2.6,-1.7,0.0033,1.2824,10.35,3.33
3,6,10,1.9,1012.1,10,0,0.33,NE,84,66.67,StNs,3,-0.93,0.0036,1.2834,11.01,5.33
3,6,11,2,1011.3,10,0,0.67,NE,87,91.67,StNs,3.5,-0.17,0.0038,1.2829,11.5,7.33
3,6,12,2.4,1010.4,10,0,1,NE,89,116.67,StNs,3.4,0.6,0.004,1.281,12.41,9.33
3,6,13,2.6,1009.4,10,0,1,ENE,89,125,StNs,2.5,0.97,0.0041,1.2801,12.76,10
3,6,14,2.9,1008.4,10,0,1,ENE,89,125,StNs,2.8,1.33,0.0041,1.2787,13.28,10
3,6,15,3.3,1007.4,10,0,1,NE,89,97.22,StNs,2.3,1.7,0.0043,1.2769,13.99,7.78
3,6,16,3.7,1006.9,10,0,1,NE,88,105.56,StNs,2.9,1.7,0.0043,1.275,14.57,8.44
3,6,17,3.8,1006.3,10,0,1,ENE,88,58.33,StNs,3.7,1.7,0.0044,1.2746,14.75,4.67
3,6,18,4,1005.8,10,0,1,ENE,85,16.67,StNs,2.9,1.7,0.0043,1.2736,14.73,1.33
3,6,19,3.6,1005.5,10,0,0.83,NE,88,0,StNs,2.7,1.77,0.0043,1.2755,14.4,0
3,6,20,3.5,1005.3,10,0,0.67,NE,88,0,StNs,1.8,1.83,0.0043,1.2759,14.22,0
3,6,21,3.7,1005,10,0,0.5,NE,87,0,StNs,2.1,1.9,0.0043,1.275,14.45,0
3,6,22,3.7,1004.9,10,0,0.33,NE,87,0,StNs,2.3,1.7,0.0043,1.275,14.45,0
3,6,23,3.7,1004.9,10,0,0.17,NE,85,0,StNs,1.3,1.5,0.0042,1.275,14.2,0
3,6,24,3.7,1004.8,10,0,0,NE,83,0,StNs,1.7,1.3,0.0041,1.275,13.95,0
3,7,1,3.7,1004.7,10,0,0.03,NNE,82,0,ScAs,0.3,1.17,0.004,1.275,13.83,0
3,7,2,3.5,1004.5,10,0,0.07,WNW,86,0,StNs,2.2,1.03,0.0042,1.2759,13.97,0
3,7,3,3.3,1004.4,10,0,0.1,정온,85,0,StNs,0,0.9,0.0041,1.2769,13.5,0
3,7,4,2.9,1003.8,10,0,0.2,ENE,86,0,StNs,1.2,0.8,0.004,1.2787,12.93,0
3,7,5,2.8,1003.2,10,0,0.3,ENE,86,0,StNs,1.5,0.7,0.004,1.2792,12.76,0
3,7,6,2.8,1002.6,10,0,0.4,NE,86,0,StNs,0.9,0.6,0.004,1.2792,12.76,0
3,7,7,3,1003.2,10,0,0.43,N,84,0,StNs,0.8,0.77,0.0039,1.2782,12.87,0
3,7,8,2.9,1003.8,10,0,0.47,NNW,87,2.78,StNs,1,0.93,0.004,1.2787,13.05,0.22
3,7,9,2.8,1004.4,10,0,0.5,NE,88,41.67,StNs,1.8,1.1,0.0041,1.2792,12.99,3.33
3,7,10,3.1,1004.4,10,0,0.83,NE,88,88.89,StNs,2.3,1.23,0.0041,1.2778,13.51,7.11
3,7,11,3.4,1004.3,10,0,1.17,NE,88,136.11,StNs,2.5,1.37,0.0042,1.2764,14.04,10.89
3,7,12,3.6,1004.3,10,0,1.5,NE,86,133.33,StNs,2.2,1.5,0.0042,1.2755,14.15,10.67
3,7,13,3.7,1004.2,10,0,1.67,NNE,85,88.89,StNs,0.8,1.5,0.0042,1.275,14.2,7.11
3,7,14,3.1,1004,10,0,1.83,WNW,88,133.33,StNs,3.2,1.5,0.0041,1.2778,13.51,10.67
3,7,15,3.3,1003.9,10,0,2,NW,88,127.78,StNs,2.1,1.5,0.0042,1.2769,13.87,10.22
3,7,16,3.4,1004.4,10,0,1.33,WNW,87,58.33,StNs,3,1.2,0.0042,1.2764,13.92,4.67
3,7,17,3.5,1004.9,10,0,0.67,W,87,33.33,StNs,2.9,0.9,0.0042,1.2759,14.1,2.67
3,7,18,3.1,1005.4,10,0,0,W,84,-0.63,StNs,4,0.6,0.004,1.2778,13.04,-0.63
3,7,19,3.1,1006.1,10,0,0.17,W,86,0,StNs,3.7,0.4,0.0041,1.2778,13.28,0
3,7,20,2.6,1006.8,10,0,0.33,WNW,83,0,ScAs,4.4,0.2,0.0038,1.2801,12.07,0
3,7,21,2.2,1007.5,10,0,0.5,WNW,85,0,ScAs,3.4,0,0.0038,1.282,11.62,0
3,7,22,1.8,1008,10,0,0.4,WNW,85,0,ScAs,3.4,-0.17,0.0037,1.2838,10.95,0
3,7,23,1.4,1008.5,10,0,0.3,W,88,0,StNs,3.3,-0.33,0.0037,1.2857,10.6,0
3,7,24,1.1,1009,10,0,0.2,WNW,90,0,StNs,1.7,-0.5,0.0037,1.2871,10.31,0
3,8,1,0.9,1009.4,10,0,0.27,NNW,92,0,StNs,0.8,-0.27,0.0037,1.288,10.17,0
3,8,2,1.2,1009.7,10,0,0.33,W,92,0,ScAs,1.6,-0.03,0.0038,1.2866,10.68,0
3,8,3,1.4,1010.1,10,0,0.4,NE,91,0,ScAs,2,0.2,0.0038,1.2857,10.92,0
3,8,4,1.5,1010.1,10,0,0.27,NE,86,0,ScAs,1.1,-0.17,0.0036,1.2852,10.56,0
3,8,5,1.6,1010.2,9,0,0.13,N,86,0,Sc,1.1,-0.53,0.0036,1.2848,10.72,0
3,8,6,1.4,1010.2,9,0,0,NE,84,0,Sc,0.5,-0.9,0.0035,1.2857,10.18,0
3,8,7,1.4,1010.7,9,0,0,NE,81,0,Sc,0.9,-1.23,0.0034,1.2857,9.87,0
3,8,8,1.7,1011.3,10,0,0,NE,75,16.67,ScAs,0.8,-1.57,0.0032,1.2843,9.71,1.33
3,8,9,2.2,1011.8,10,0,0,NE,74,88.89,ScAs,2.3,-1.9,0.0033,1.282,10.4,7.11
3,8,10,3.1,1012.4,10,0,0,ENE,59,244.44,ScAs,2.7,-2.53,0.0028,1.2778,10.07,31.44
3,8,11,3.8,1012.9,10,0,0,NE,57,283.33,ScAs,2.2,-3.17,0.0028,1.2746,10.88,33.79
3,8,12,4.3,1013.5,10,0,0,ENE,55,313.89,ScAs,1.4,-3.8,0.0028,1.2723,11.38,38.16
3,8,13,4.4,1013.3,10,0,0,ENE,50,261.11,ScAs,0.5,-3.27,0.0026,1.2718,10.89,23.04
3,8,14,4,1013,10,0,0,SSW,60,233.33,ScAs,1.5,-2.73,0.003,1.2736,11.56,19.49
3,8,15,3.9,1012.8,10,0,0,S,64,116.67,ScAs,1.4,-2.2,0.0032,1.2741,11.91,9.33
3,8,16,3.9,1013.2,10,0,0,SW,71,58.33,ScAs,2.8,-1.53,0.0035,1.2741,12.79,4.67
3,8,17,4,1013.5,10,0,0,WNW,70,47.22,ScAs,2.2,-0.87,0.0035,1.2736,12.83,3.78
3,8,18,3,1013.9,10,0,0,NW,80,25,ScAs,2.5,-0.2,0.0037,1.2782,12.39,2
3,8,19,2.6,1014.4,10,0,0.03,WNW,83,0,ScAs,3.6,-0.3,0.0038,1.2801,12.07,0
3,8,20,2.7,1014.8,9,0,0.07,W,82,0,Sc,2.4,-0.4,0.0038,1.2796,12.12,0
3,8,21,2.8,1015.3,9,0,0.1,SW,80,0,Sc,1.8,-0.5,0.0037,1.2792,12.06,0
3,8,22,2.7,1015.7,6,0,0.07,W,80,0,Sc,1.4,-0.57,0.0037,1.2796,11.89,0
3,8,23,2.4,1016,3,0,0.03,WNW,82,0,0,1,-0.63,0.0037,1.281,11.62,0
3,8,24,1.9,1016.4,0,0,0,WNW,84,0,0,0.8,-0.7,0.0036,1.2834,11.01,0
3,9,1,1.5,1016.7,0,0,0,정온,86,0,StNs,0,-0.7,0.0036,1.2852,10.56,0
3,9,2,1.2,1017.1,0,0,0,정온,87,0,0,0,-0.7,0.0036,1.2866,10.16,0
3,9,3,0.8,1017.4,0,0,0,정온,89,0,0,0,-0.7,0.0036,1.2885,9.7,0
3,9,4,0.3,1017.7,0,0,0,NE,90,0,0,1.2,-0.7,0.0035,1.2909,8.98,0
3,9,5,0,1018,0,0,0,NE,91,0,0,1.4,-0.7,0.0034,1.2923,8.58,0
3,9,6,0.1,1018.3,0,0,0,NE,92,0,0,1.5,-0.7,0.0035,1.2918,8.84,0
3,9,7,0,1019,2,0,0,NE,91,0,0,1.7,-1.1,0.0034,1.2923,8.58,0
3,9,8,0.6,1019.6,5,0,0,NE,89,33.33,Sc,1.3,-1.5,0.0035,1.2895,9.37,2.67
3,9,9,1.9,1020.3,7,0,0,NE,75,130.56,Sc,1.8,-1.9,0.0032,1.2834,10.03,10.65
3,9,10,3.1,1020.5,6,0,0,ESE,65,211.11,Sc,1.3,-2.27,0.0031,1.2778,10.78,20.51
3,9,11,4.3,1020.7,6,0,0,E,54,386.11,Sc,0.8,-2.63,0.0028,1.2723,11.25,88.98
3,9,12,5.6,1020.9,5,0,0,SW,54,438.89,Sc,1.6,-3,0.003,1.2663,13.23,109.66
3,9,13,5.6,1020.4,6,0,0,S,53,477.78,Sc,1.5,-3.67,0.003,1.2663,13.09,138.64
3,9,14,5.5,1019.9,7,0,0,NNE,59,127.78,Sc,1.5,-4.33,0.0033,1.2668,13.78,10.22
3,9,15,6.6,1019.4,8,0,0,SSW,43,336.11,Sc,0.9,-5,0.0026,1.2618,13.12,69.09
3,9,16,6.3,1019.4,7,0,0,W,49,208.33,Sc,2.1,-4.6,0.0029,1.2632,13.57,26.01
3,9,17,6.7,1019.4,7,0,0,NW,46,219.44,CuScCi,1,-4.2,0.0028,1.2613,13.72,79.83
3,9,18,6.1,1019.4,6,0,0,NNW,49,91.67,CuScCi,0.8,-3.8,0.0028,1.2641,13.27,41.95
3,9,19,4.8,1019.8,4,0,0,W,71,0,CuScCi,1.3,-2.7,0.0038,1.27,14.28,0
3,9,20,4.2,1020.2,2,0,0,W,73,0,0,2.6,-1.6,0.0037,1.2727,13.54,0
3,9,21,3.6,1020.6,0,0,0,정온,74,0,0,0.1,-0.5,0.0036,1.2755,12.67,0
3,9,22,3,1020.7,0,0,0,정온,77,0,0,0.2,-0.4,0.0036,1.2782,12.04,0
3,9,23,2.8,1020.8,0,0,0,정온,82,0,0,0,-0.3,0.0038,1.2792,12.29,0
3,9,24,2.3,1020.9,0,0,0,NNE,82,0,0,1.1,-0.2,0.0037,1.2815,11.45,0
3,10,1,2.3,1021.1,1,0,0,정온,82,0,0,0,-0.53,0.0037,1.2815,11.45,0
3,10,2,1.5,1021.2,2,0,0,NNE,83,0,Ci,0.4,-0.87,0.0035,1.2852,10.24,0
3,10,3,1,1021.4,3,0,0,NE,84,0,Ci,0.9,-1.2,0.0034,1.2876,9.53,0
3,10,4,0.7,1021.7,3,0,0,NE,86,0,Ci,1.4,-1.63,0.0034,1.289,9.24,0
3,10,5,0.5,1022,2,0,0,ENE,84,0,Sc,2.2,-2.07,0.0033,1.2899,8.72,0
3,10,6,0.6,1022.3,2,0,0,ENE,79,0,Sc,2.4,-2.5,0.0031,1.2895,8.38,0
3,10,7,0.9,1022.8,1,0,0,ENE,75,0,Sc,2.4,-3.03,0.003,1.288,8.45,0
3,10,8,1.5,1023.2,1,0,0,ENE,78,36.11,0,1.8,-3.57,0.0033,1.2852,9.71,2.89
3,10,9,3.2,1023.7,0,0,0,ENE,59,266.67,0,2.4,-4.1,0.0028,1.2773,10.22,80.05
3,10,10,4.7,1023.5,1,0,0,ENE,51,461.11,0,3.6,-4.73,0.0027,1.2704,11.46,215.61
3,10,11,6.6,1023.3,2,0,0,ENE,43,630.56,St,2.4,-5.37,0.0026,1.2618,13.12,357.41
3,10,12,7.8,1023.1,3,0,0,ENE,37,702.78,St,1.9,-6,0.0024,1.2564,13.9,406.92
3,10,13,7,1022.6,4,0,0,NNW,40,355.56,St,0.8,-6.23,0.0025,1.26,13.24,52.79
3,10,14,8.4,1022,5,0,0,NE,35,416.67,Sc,2,-6.47,0.0024,1.2537,14.42,100.16
3,10,15,8,1021.5,6,0,0,NW,35,330.56,Sc,2.2,-6.7,0.0023,1.2555,13.85,64.49
3,10,16,8.9,1021.7,5,0,0,W,31,313.89,Sc,2,-6.93,0.0022,1.2515,14.42,94.62
3,10,17,8.3,1021.9,4,0,0,NNE,31,94.44,Sc,1.4,-7.17,0.0021,1.2542,13.59,7.49
3,10,18,7.8,1022.1,3,0,0,NNE,33,55.56,Sc,2.3,-7.4,0.0021,1.2564,13.24,8.34
3,10,19,7,1022.5,2,0,0,NNW,36,0,Sc,1.9,-5.4,0.0022,1.26,12.61,0
3,10,20,6,1022.9,1,0,0,WNW,63,0,0,3.7,-3.4,0.0036,1.2645,15.16,0
3,10,21,5.5,1023.3,0,0,0,NW,61,0,0,2,-1.4,0.0034,1.2668,14.06,0
3,10,22,4.7,1023.6,0,0,0,NW,60,0,0,0.3,-2.13,0.0032,1.2704,12.65,0
3,10,23,4.1,1023.8,0,0,0,NNE,61,0,0,0.9,-2.87,0.0031,1.2732,11.85,0
3,10,24,3.2,1024.1,0,0,0,NE,62,0,0,1.5,-3.6,0.0029,1.2773,10.58,0
3,11,1,2.9,1024,0,0,0,ENE,54,0,0,2.7,-3.67,0.0025,1.2787,9.19,0
3,11,2,2.2,1023.9,0,0,0,NE,59,0,0,1.3,-3.73,0.0026,1.282,8.73,0
3,11,3,1.8,1023.8,0,0,0,NE,63,0,0,2.5,-3.8,0.0027,1.2838,8.57,0
3,11,4,1.2,1024,0,0,0,NE,67,0,0,2.7,-4.1,0.0028,1.2866,8.1,0
3,11,5,1.1,1024.1,0,0,0,NE,66,0,0,1.4,-4.4,0.0027,1.2871,7.84,0
3,11,6,0.7,1024.3,0,0,0,NE,65,0,0,2.4,-4.7,0.0026,1.289,7.15,0
3,11,7,0.6,1024.6,0,0,0,NE,63,0,0,2.6,-5.37,0.0025,1.2895,6.8,0
3,11,8,1.6,1024.8,1,0,0,ENE,60,41.67,Ci,2,-6.03,0.0025,1.2848,7.96,3.33
3,11,9,3.5,1025.1,1,0,0,NE,48,272.22,Ci,3,-6.7,0.0023,1.2759,9.34,83.13
3,11,10,5.5,1024.8,3,0,0,NE,38,447.22,Ci,2.8,-7.2,0.0021,1.2668,10.83,195.4
3,11,11,7.3,1024.4,4,0,0,ENE,33,602.78,Ci,1.7,-7.7,0.0021,1.2586,12.56,318.52
3,11,12,8.1,1024.1,6,0,0,E,31,566.67,Ci,1.3,-8.2,0.0021,1.2551,13.32,233.1
3,11,13,9.4,1023.5,4,0,0,WSW,29,702.78,Ci,1.9,-8.6,0.0021,1.2493,14.74,396.26
3,11,14,10.4,1022.9,2,0,0,SW,25,705.56,0,2.2,-9,0.0019,1.2449,15.34,426.31
3,11,15,10.8,1022.3,0,0,0,S,24,605.56,0,2.6,-9.4,0.0019,1.2431,15.67,360.33
3,11,16,10.2,1022.5,3,0,0,WSW,24,405.56,0,2.3,-7.27,0.0018,1.2458,14.88,195.71
3,11,17,8.8,1022.7,6,0,0,W,39,158.33,AcCi,5.1,-5.13,0.0027,1.2519,15.69,26.94
3,11,18,7.8,1022.9,9,0,0,W,47,50,AcCi,3.8,-3,0.0031,1.2564,15.55,5.7
3,11,19,7.4,1023.1,9,0,0,WNW,44,0,AcCi,2.4,-3.47,0.0028,1.2582,14.45,0
3,11,20,6.8,1023.4,10,0,0,WNW,48,0,As,2.6,-3.93,0.0029,1.2609,14.18,0
3,11,21,6.4,1023.6,10,0,0,NW,47,0,As,2.5,-4.4,0.0028,1.2627,13.43,0
3,11,22,6.4,1023.7,10,0,0,NW,41,0,As,3.2,-4.73,0.0024,1.2627,12.53,0
3,11,23,6.1,1023.7,9,0,0,NE,41,0,Ci,0.5,-5.07,0.0024,1.2641,12.1,0
3,11,24,5.8,1023.8,9,0,0,NE,45,0,Ci,1.4,-5.4,0.0026,1.2654,12.25,0
3,12,1,5.3,1023.7,8,0,0,NE,50,0,0,1.1,-4.97,0.0027,1.2677,12.21,0
3,12,2,5.2,1023.7,6,0,0,NE,51,0,Ci,0.8,-4.53,0.0028,1.2681,12.2,0
3,12,3,4.5,1023.6,5,0,0,NE,55,0,Ci,1.3,-4.1,0.0029,1.2713,11.69,0
3,12,4,4.5,1023.7,4,0,0,정온,58,0,Ci,0,-3.57,0.003,1.2713,12.08,0
3,12,5,4,1023.8,4,0,0,정온,62,0,Ci,0.2,-3.03,0.0031,1.2736,11.82,0
3,12,6,4,1023.9,3,0,0,정온,63,0,Ci,0.1,-2.5,0.0032,1.2736,11.94,0
3,12,7,3.7,1024.3,4,0,0,정온,64,0,Ci,0,-2.87,0.0031,1.275,11.6,0
3,12,8,3.6,1024.6,4,0,0,NE,64,41.67,Ci,1.2,-3.23,0.0031,1.2755,11.44,3.33
3,12,9,5.6,1025,5,0,0,NE,53,180.56,Ci,1.4,-3.6,0.003,1.2663,13.09,21.88
3,12,10,7.1,1024.7,4,0,0,ESE,44,336.11,Ci,0.5,-4.53,0.0027,1.2595,14.01,80.65
3,12,11,8.7,1024.4,3,0,0,SSW,38,508.33,Sc,2,-5.47,0.0026,1.2524,15.37,199.26
3,12,12,9.6,1024.1,2,0,0,W,33,619.44,Sc,3.2,-6.4,0.0024,1.2484,15.76,294.37
3,12,13,10.1,1023.4,2,0,0,WNW,30,647.22,Sc,2.7,-7.83,0.0023,1.2462,15.9,322.09
3,12,14,11.1,1022.8,2,0,0,WSW,28,552.78,Ci,3.1,-9.27,0.0023,1.2418,16.89,231.87
3,12,15,11.3,1022.1,2,0,0,WSW,21,588.89,Ci,4.1,-10.7,0.0017,1.2409,15.71,336.91
3,12,16,10.5,1022.2,3,0,0,W,28,475,Ci,4.8,-9.5,0.0022,1.2444,16.06,281.67
3,12,17,9.3,1022.4,4,0,0,W,30,286.11,Sc,4.5,-8.3,0.0022,1.2497,14.79,154.35
3,12,18,8,1022.5,5,0,0,W,34,100,Sc,4.5,-7.1,0.0022,1.2555,13.69,45.75
3,12,19,7.3,1022.8,3,0,0,W,37,0,Sc,3.4,-5.83,0.0023,1.2586,13.19,0
3,12,20,6,1023,2,0,0,W,45,0,0,2,-4.57,0.0026,1.2645,12.54,0
3,12,21,5.7,1023.3,0,0,0,WSW,52,0,0,2,-3.3,0.0029,1.2659,13.1,0
3,12,22,5.4,1023.2,0,0,0,W,53,0,0,3.1,-3.03,0.0029,1.2672,12.78,0
3,12,23,5,1023,0,0,0,W,57,0,0,2.9,-2.77,0.0031,1.2691,12.72,0
3,12,24,4.4,1022.9,0,0,0,W,61,0,0,1.7,-2.5,0.0031,1.2718,12.31,0
3,13,1,3.9,1022.8,0,0,0,W,65,0,Ci,2.8,-2.5,0.0032,1.2741,12.04,0
3,13,2,3.5,1022.8,0,0,0,W,66,0,0,0.3,-2.5,0.0032,1.2759,11.53,0
3,13,3,3.3,1022.7,0,0,0,W,67,0,0,2.1,-2.5,0.0032,1.2769,11.33,0
3,13,4,2.7,1022.7,0,0,0,W,70,0,0,1,-2.5,0.0032,1.2796,10.74,0
3,13,5,2.6,1022.8,0,0,0,NW,71,0,0,1.5,-2.5,0.0032,1.2801,10.7,0
3,13,6,1.9,1022.8,0,0,0,정온,73,0,0,0,-2.5,0.0032,1.2834,9.81,0
3,13,7,1.8,1023,0,0,0,정온,75,0,0,0,-3.03,0.0032,1.2838,9.87,0
3,13,8,2.4,1023.1,0,0,0,NNE,70,44.44,0,0.7,-3.57,0.0031,1.281,10.27,3.56
3,13,9,4.2,1023.3,0,0,0,W,56,227.78,0,0.8,-4.1,0.0028,1.2727,11.36,44.46
3,13,10,6,1023,1,0,0,W,40,413.89,0,1.7,-4.73,0.0023,1.2645,11.81,151.4
3,13,11,7.6,1022.7,2,0,0,NW,35,605.56,Ci,2,-5.37,0.0022,1.2573,13.29,315.55
3,13,12,9.3,1022.4,3,0,0,W,34,702.78,Ci,3.3,-6,0.0025,1.2497,15.52,397.75
3,13,13,8.9,1021.7,3,0,0,W,34,736.11,Ci,3.4,-5.47,0.0024,1.2515,14.95,432.62
3,13,14,9.8,1021.1,3,0,0,WNW,34,702.78,Sc,4.1,-4.93,0.0025,1.2475,16.24,417.8
3,13,15,10.3,1020.4,3,0,0,WSW,35,636.11,Sc,4.1,-4.4,0.0027,1.2453,17.15,392.49
3,13,16,9.3,1020,3,0,0,WSW,37,491.67,Sc,3.9,-4.73,0.0027,1.2497,16.07,299.74
3,13,17,9,1019.6,4,0,0,W,38,313.89,Ci,2.6,-5.07,0.0027,1.2511,15.81,187.24
3,13,18,8.2,1019.2,4,0,0,WSW,38,105.56,Ci,2.9,-5.4,0.0025,1.2546,14.64,50.51
3,13,19,6.9,1019.4,4,0,0,W,44,0,Ci,3.1,-4.33,0.0027,1.2604,13.71,0
3,13,20,5.6,1019.6,3,0,0,WNW,64,0,Ci,3.8,-3.27,0.0036,1.2663,14.65,0
3,13,21,5.1,1019.8,3,0,0,W,59,0,Ci,3,-2.2,0.0032,1.2686,13.15,0
3,13,22,4.7,1019.7,4,0,0,W,61,0,Ci,2.9,-1.87,0.0032,1.2704,12.79,0
3,13,23,4.5,1019.6,5,0,0,W,62,0,Ci,1.6,-1.53,0.0032,1.2713,12.6,0
3,13,24,4,1019.5,6,0,0,SW,69,0,Ci,1.3,-1.2,0.0035,1.2736,12.7,0
3,14,1,3.9,1019.4,5,0,0,WSW,70,0,0,1.4,-0.8,0.0035,1.2741,12.67,0
3,14,2,3.1,1019.4,3,0,0,정온,75,0,Ci,0,-0.4,0.0035,1.2778,11.97,0
3,14,3,3.2,1019.3,2,0,0,WSW,78,0,Ci,1.8,0,0.0037,1.2773,12.49,0
3,14,4,2.5,1019.1,3,0,0,WSW,81,0,Ci,1.5,-0.23,0.0037,1.2806,11.67,0
3,14,5,2.1,1018.9,3,0,0,SW,83,0,Ci,2.7,-0.47,0.0036,1.2824,11.23,0
3,14,6,1.9,1018.7,4,0,0,WSW,82,0,Ci,1.3,-0.7,0.0035,1.2834,10.79,0
3,14,7,1.3,1018.5,5,0,0,NE,84,0,Ci,1.4,-1.3,0.0035,1.2862,10.02,0
3,14,8,1.9,1018.2,5,0,0,NE,84,47.22,Ci,0.9,-1.9,0.0036,1.2834,11.01,3.78
3,14,9,3.5,1018,6,0,0,ENE,66,244.07,Ci,1.8,-2.5,0.0032,1.2759,11.53,54.16
3,14,10,5.6,1017.5,6,0,0,ENE,51,413.89,Ci,1.6,-4.03,0.0029,1.2663,12.8,148.83
3,14,11,7.4,1016.9,6,0,0,E,38,580.56,Ci,2,-5.57,0.0024,1.2582,13.49,280.49
3,14,12,8.2,1016.4,6,0,0,SSW,33,669.44,Ci,2.5,-7.1,0.0022,1.2546,13.8,351.9
3,14,13,9.4,1015.4,7,0,0,SSW,31,658.33,Ci,2.3,-5.73,0.0023,1.2493,15.11,330.45
3,14,14,10,1014.5,9,0,0,W,31,569.44,ScAs,2.1,-4.37,0.0023,1.2466,15.95,246.82
3,14,15,9.4,1013.5,10,0,0,WSW,42,377.78,ScAs,3.4,-3,0.0031,1.2493,17.13,93.99
3,14,16,8.8,1013.3,10,0,0,W,42,230.56,ScAs,3.4,-2.57,0.0029,1.2519,16.22,32.82
3,14,17,8.3,1013.2,10,0,0,W,44,119.44,As,3.1,-2.13,0.003,1.2542,15.81,11.12
3,14,18,7.6,1013,10,0,0,W,52,44.44,As,3,-1.7,0.0033,1.2573,16.05,3.79
3,14,19,6.9,1012.8,10,0,0,W,57,0,As,3.1,-1.2,0.0035,1.2604,15.73,0
3,14,20,6.8,1012.5,10,0,0,WNW,60,0,As,1.9,-0.7,0.0037,1.2609,16.03,0
3,14,21,6.7,1012.3,10,0,0,WNW,61,0,As,2.1,-0.2,0.0037,1.2613,16.02,0
3,14,22,6.2,1012.3,10,0,0,W,61,0,As,2,-0.37,0.0036,1.2636,15.19,0
3,14,23,6,1012.2,10,0,0,W,62,0,As,2.8,-0.53,0.0036,1.2645,15.01,0
3,14,24,5.5,1012.2,10,0,0,W,64,0,As,2.2,-0.7,0.0036,1.2668,14.48,0
3,15,1,5.3,1011.9,10,0,0,W,64,0,Ci,1.4,-0.63,0.0035,1.2677,14.16,0
3,15,2,5.2,1011.6,10,0,0,WSW,61,0,As,2.6,-0.57,0.0033,1.2681,13.58,0
3,15,3,4.9,1011.3,10,0,0,W,68,0,As,2.1,-0.5,0.0036,1.2695,14.05,0
3,15,4,4.8,1011.1,10,0,0,WSW,68,0,As,1.2,-0.4,0.0036,1.27,13.88,0
3,15,5,4.5,1010.8,10,0,0,WSW,70,0,As,0.8,-0.3,0.0036,1.2713,13.65,0
3,15,6,4.4,1010.6,10,0,0,정온,70,0,As,0,-0.2,0.0036,1.2718,13.49,0
3,15,7,4.4,1011,7,0,0,WNW,72,0,As,1.1,-0.6,0.0037,1.2718,13.75,0
3,15,8,4.5,1011.3,3,0,0,W,70,36.11,0,1.8,-1,0.0036,1.2713,13.65,2.89
3,15,9,5.8,1011.7,0,0,0,정온,60,180.56,0,0.1,-1.4,0.0034,1.2654,14.4,20.42
3,15,10,7.3,1011.6,1,0,0,SSW,56,319.44,0,1.7,-1.93,0.0035,1.2586,16.22,64.5
3,15,11,9.1,1011.4,1,0,0,SSW,45,494.44,Ci,1,-2.47,0.0032,1.2506,17.21,176.32
3,15,12,10.7,1011.3,2,0,0,SSW,38,622.22,Ci,2.5,-3,0.003,1.2436,18.34,288.99
3,15,13,12.3,1010.5,3,0.03,0,S,36,677.78,Ci,2.2,-2.47,0.0032,1.2366,20.37,352.45
3,15,14,12.8,1009.8,4,0.07,0,W,34,652.78,Ci,2.7,-1.93,0.0031,1.2344,20.68,348.96
3,15,15,13.2,1009,5,0.1,0,WSW,36,550,Ci,3.1,-1.4,0.0034,1.2327,21.77,279.33
3,15,16,12.6,1009.1,5,0.07,0,W,39,377.78,Ci,3.8,-0.93,0.0035,1.2353,21.52,152.96
3,15,17,12,1009.3,4,0.03,0,W,42,247.22,Ci,2.7,-0.47,0.0036,1.2379,21.22,99.45
3,15,18,10.5,1009.4,4,0,0,WNW,48,91.67,Ci,3.8,0,0.0038,1.2444,20.02,30.69
3,15,19,9.3,1009.8,4,0,0,W,46,0,Ci,3.4,-0.17,0.0033,1.2497,17.71,0
3,15,20,8.8,1010.1,4,0,0,W,49,0,Ci,3.3,-0.33,0.0034,1.2519,17.46,0
3,15,21,8.2,1010.5,4,0,0,WSW,55,0,Ci,1.6,-0.5,0.0037,1.2546,17.52,0
3,15,22,7.6,1010.5,6,0,0,정온,59,0,Ci,0,-0.5,0.0038,1.2573,17.19,0
3,15,23,7.8,1010.4,7,0,0,정온,58,0,ScCi,0.1,-0.5,0.0038,1.2564,17.36,0
3,15,24,8.3,1010.4,9,0,0,WSW,54,0,ScCi,1.2,-0.5,0.0036,1.2542,17.52,0
3,16,1,8.2,1009.9,9,0,0,정온,57,0,As,0.1,-0.03,0.0038,1.2546,17.86,0
3,16,2,7.7,1009.4,9,0,0,NE,61,0,ScAs,1.6,0.43,0.004,1.2569,17.69,0
3,16,3,7.9,1008.9,9,0,0,ENE,61,0,ScAs,1.8,0.9,0.004,1.256,18.03,0
3,16,4,7.8,1008.6,9,0,0,ENE,61,0,ScAs,1.8,1.3,0.004,1.2564,17.86,0
3,16,5,7.7,1008.3,10,0,0,NE,63,0,ScAs,1.8,1.7,0.0041,1.2569,18.02,0
3,16,6,7.7,1008,10,0,0,ENE,67,0,ScAs,2.3,2.1,0.0044,1.2569,18.67,0
